Time,Temperature (°C),Humidity (%),Status
15:40:47,30.0,47.0,FAILURE
15:40:50,30.0,47.0,FAILURE
15:40:51,30.0,47.0,FAILURE
15:40:54,30.0,47.0,FAILURE
15:40:55,30.0,47.0,FAILURE
15:40:58,30.0,47.0,FAILURE
15:40:59,30.0,47.0,FAILURE
15:41:02,30.0,47.0,FAILURE
15:41:03,30.0,47.0,FAILURE
15:41:06,30.0,47.0,FAILURE
15:41:07,30.0,47.0,FAILURE
15:41:10,30.0,47.0,FAILURE
15:41:11,30.0,47.0,FAILURE
15:41:14,30.0,47.0,FAILURE
15:41:15,30.0,47.0,FAILURE
15:41:18,30.0,47.0,FAILURE
15:41:19,30.0,47.0,FAILURE
15:41:22,30.0,47.0,FAILURE
15:41:23,30.0,47.0,FAILURE
15:41:26,30.0,47.0,FAILURE
15:41:27,30.0,47.0,FAILURE
15:41:30,30.0,47.0,FAILURE
15:41:31,30.0,46.0,FAILURE
15:41:34,30.0,46.0,FAILURE
15:41:35,30.0,46.0,FAILURE
15:41:38,30.0,46.0,FAILURE
15:41:39,30.0,46.0,FAILURE
15:41:42,30.0,46.0,FAILURE
15:41:43,30.0,46.0,FAILURE
15:41:46,30.0,47.0,FAILURE
15:41:47,30.0,47.0,FAILURE
15:41:50,30.0,47.0,FAILURE
15:41:52,30.0,47.0,FAILURE
15:41:55,30.0,47.0,FAILURE
15:41:56,30.0,47.0,FAILURE
15:41:59,30.0,47.0,FAILURE
15:42:00,30.0,47.0,FAILURE
15:42:03,30.0,47.0,FAILURE
15:42:04,30.0,47.0,FAILURE
15:42:07,30.0,46.0,FAILURE
15:42:08,30.0,46.0,FAILURE
15:42:11,30.0,46.0,FAILURE
15:42:12,30.0,46.0,FAILURE
15:42:15,30.0,46.0,FAILURE
15:42:16,30.0,46.0,FAILURE
15:42:19,30.0,46.0,FAILURE
15:42:20,30.0,47.0,FAILURE
15:42:23,30.0,47.0,FAILURE
15:42:24,30.0,47.0,FAILURE
15:42:27,30.0,47.0,FAILURE
15:42:28,30.0,47.0,FAILURE
15:42:31,30.0,47.0,FAILURE
15:42:32,30.0,47.0,FAILURE
15:42:35,30.0,47.0,FAILURE
15:42:36,30.0,47.0,FAILURE
15:42:39,30.0,47.0,FAILURE
15:42:40,30.0,47.0,FAILURE
15:42:43,30.0,47.0,FAILURE
15:42:44,30.0,46.0,FAILURE
15:42:47,30.0,46.0,FAILURE
